Type	error	Date	PC Time	 gps time	 latitude	 longitude	 equ temp	std val	 CO2 mv	 CO2 um/m	 H2O mv	 H2O mm/m	 licor temp	 licor press	 atm press	 equ press	 H2O flow	 licor flow	 equ pump	 vent flow	 atm cond	 equ cond	 drip 1	 drip 2	 cond temp	 dry box temp	 deck box temp	pres	temp	cond	O2(%sat)	O2(ppm)	pH	eH	temp2	TSG temp	TSG salt	intake temp	Ch conc	Ch temp	Intake Temp
EQU	0	04/09/09	00:02:20	00:02:23	-34.0261	16.6143	17.59	NaN	8471884.00	409.50	11865113.00	0.00	30.71	1016.15	1017.62	0.15	2.33	63.84	9.00	-55.84	9.92	9.90	9.93	0.62	6.31	24.56	22.69	0.29	17.556	46.254	110.6	10.55	7.761	50.4	-38.583	NaN	NaN	NaN	0.038	0.0	16.9249
EQU	0	04/09/09	00:03:33	00:03:36	-34.0266	16.6103	17.60	NaN	8541866.00	389.08	12053618.00	0.00	30.71	1016.19	1017.43	0.70	2.30	58.36	9.00	-55.83	9.92	9.90	9.93	0.62	6.31	24.56	22.69	0.35	17.567	46.265	110.5	10.53	7.761	50.3	-38.583	NaN	NaN	NaN	0.038	0.0	16.9397
EQU	0	04/09/09	00:04:47	00:04:50	-34.0271	16.6062	17.61	NaN	8444557.00	401.49	12016707.00	0.00	30.71	1016.09	1017.32	0.76	2.29	60.67	9.00	-55.83	9.92	9.90	9.93	0.62	6.31	24.56	22.69	0.36	17.568	46.268	110.5	10.53	7.760	50.3	-38.583	NaN	NaN	NaN	0.038	0.0	16.9377
EQU	0	04/09/09	00:06:00	00:06:03	-34.0275	16.6021	17.62	NaN	8494229.00	406.35	11953342.00	0.00	30.70	1016.28	1017.75	0.87	2.32	52.16	9.00	-55.81	9.92	9.90	9.93	0.62	6.31	24.56	22.69	0.29	17.579	46.278	110.5	10.53	7.760	50.2	-38.583	NaN	NaN	NaN	0.032	0.0	16.9394
EQU	0	04/09/09	00:07:13	00:07:17	-34.0281	16.5979	17.62	NaN	8539135.00	411.13	11786353.00	0.00	30.70	1016.14	1017.79	0.54	2.31	62.23	9.00	-55.81	9.92	9.90	9.93	0.62	6.37	24.56	22.69	0.33	17.580	46.281	110.4	10.52	7.760	50.2	-38.583	NaN	NaN	NaN	0.023	0.0	16.9482
EQU	0	04/09/09	00:08:27	00:08:30	-34.0286	16.5938	17.62	NaN	8514684.00	412.97	11951895.00	0.00	30.70	1016.00	1017.40	0.43	2.29	57.28	9.00	-55.81	9.92	9.90	9.93	0.62	6.31	24.56	22.69	0.28	17.586	46.285	110.4	10.52	7.760	50.4	-38.583	NaN	NaN	NaN	0.019	0.0	16.9460
EQU	0	04/09/09	00:09:40	00:09:43	-34.0291	16.5899	17.63	NaN	8198281.00	413.57	12287781.00	0.00	30.70	1016.21	1016.72	0.00	2.32	62.76	9.00	-55.80	9.92	9.90	9.93	0.62	6.31	24.50	22.69	0.36	17.588	46.289	110.2	10.50	7.760	50.2	-38.583	NaN	NaN	NaN	0.016	0.0	16.9579
EQU	0	04/09/09	00:10:53	00:10:56	-34.0296	16.5859	17.63	NaN	8404132.00	416.99	12174721.00	0.00	30.70	1016.07	1017.08	0.44	2.31	58.70	9.00	-55.80	9.92	9.90	9.93	0.62	6.31	24.50	22.69	0.31	17.591	46.294	110.2	10.50	7.760	50.3	-38.583	NaN	NaN	NaN	0.016	0.0	16.9558
EQU	0	04/09/09	00:12:06	00:12:10	-34.0301	16.5817	17.64	NaN	8366311.00	414.04	12010752.00	0.00	30.70	1016.16	1017.23	0.67	2.31	49.19	9.00	-55.80	9.92	9.90	9.93	0.62	6.37	24.56	22.69	0.29	17.598	46.301	110.2	10.50	7.759	50.5	-38.583	NaN	NaN	NaN	0.016	0.0	16.9619
EQU	0	04/09/09	00:13:20	00:13:23	-34.0306	16.5777	17.64	NaN	8399271.00	413.05	12180414.00	0.00	30.70	1016.19	1017.10	0.25	2.30	65.80	9.00	-55.80	9.92	9.90	9.93	0.62	6.37	24.56	22.69	0.33	17.599	46.302	110.1	10.49	7.760	50.7	-38.583	NaN	NaN	NaN	0.013	0.0	16.9578
EQU	0	04/09/09	00:14:33	00:14:36	-34.0310	16.5737	17.64	NaN	8367253.00	412.95	12180421.00	0.00	30.70	1016.10	1017.02	0.48	2.33	59.36	9.00	-55.81	9.92	9.90	9.93	0.62	6.37	24.56	22.69	0.35	17.606	46.310	110.1	10.48	7.759	50.8	-38.583	NaN	NaN	NaN	0.014	0.0	16.9705
EQU	0	04/09/09	00:15:46	00:15:49	-34.0316	16.5697	17.65	NaN	8579089.00	413.14	11947697.00	0.00	30.70	1015.98	1017.35	0.46	2.30	65.39	9.00	-55.81	9.92	9.90	9.93	0.62	6.37	24.56	22.69	0.35	17.604	46.306	110.1	10.48	7.759	51.0	-38.583	NaN	NaN	NaN	0.015	0.0	16.9689
EQU	0	04/09/09	00:17:00	00:17:03	-34.0320	16.5655	17.65	NaN	8404935.00	413.04	12094599.00	0.00	30.70	1016.07	1017.02	0.79	2.31	54.57	9.00	-55.81	9.92	9.90	9.93	0.62	6.37	24.56	22.69	0.33	17.609	46.312	110.0	10.48	7.759	51.3	-38.583	NaN	NaN	NaN	0.017	0.0	16.9710
